Key,Link,Country,Type of website,"""not-yes"" option available","label of ""not-yes option""","""not-yes"" option similarity",Immediate visibility deny option,Number of clicks needed to deny consent,Accessibility after deny option,Location consent notice,Content visibility,Third-party involved,Dark pattern strategy,"""are you sure"" message"
AD,https://www.ad.nl/,The Netherlands,News outlet,Yes,Instellen,Smaller,"No, link",2,Yes,Centre,Less Visible,"Yes, DPG Media",Forced Action,No
Beveiligingnieuws,https://beveiligingnieuws.nl/,The Netherlands,News outlet,Yes,Meer informatie,Hidden in info and small,"No, link",Cannot deny consent,No,Centre,Less Visible,No,"""not-yes"" does not work",No
Boerenbusiness,https://www.boerenbusiness.nl/,The Netherlands,News outlet,Yes,cookiebeleid,Hidden and bold,Not available,Cannot deny consent,No,Bottom,Visible,No,"""not-yes"" does not work",No
Computable,https://www.computable.nl/,The Netherlands,News outlet,Yes,Weigeren,"Smaller, no box",Yes,1,Yes,Bottom,Visible,No,Interface inference (color),No
Detelegraaf,https://www.telegraaf.nl/,The Netherlands,News outlet,Yes,Stel voorkeuren in,Less intruiging color choice,"No, link",7,Yes,Centre,Less Visible,"Yes, Mediahuis Nederland",Forced Action,No
Devolkskrant,https://www.devolkskrant.nl,The Netherlands,News outlet,Yes,Instellen,Smaller,"No, link",2,Yes,Centre,Less Visible,"Yes, DPG Media",Forced Action,No
Dutchcowboys,https://www.dutchcowboys.nl/,The Netherlands,News outlet,Yes,Niet Akkoord,Less intruiging color choice,Yes,1,Yes,Bottom,Visible,No,Interface inference (color),No
Emerce,https://www.emerce.nl/,The Netherlands,News outlet,No,Not available,No option,Yes,1,Yes,Left,Visible,No,Nagging,No
Events,https://www.events.nl/nieuws,The Netherlands,News outlet,No,Not available,No option,Not available,Cannot deny consent,No,Bottom,Visible,No,Obstruction,No
Googlenews,https://www.news.google.nl,United States,News outlet,Yes,Aanpassen,Similar,"No, link",5,Yes,Whole Screen,Not Visible,No,Forced Action,No
Groenlinks,https://groenlinks.nl/nieuws,The Netherlands,News outlet,Yes,Lees meer en stel voorkeuren in,Hidden in info and small,"No, link",3,Yes,Bottom,Visible,No,Sneaking,No
Haarlemsdagblad,https://www.haarlemsdagblad.nl/,The Netherlands,News outlet,Yes,Stel voorkeuren in,Less intruiging color choice,"No, link",7,Yes,Centre,Less Visible,"Yes, Mediahuis Nederland",Forced Action,No
KNVB,https://www.knvb.nl/knvb_node/nieuws,The Netherlands,News outlet,Yes,Cookie-instellingen,Less intruiging color choice,"No, link",3,Yes,Bottom,Visible,No,Sneaking,No
Metro,https://www.metronieuws.nl/,The Netherlands,News outlet,Yes,Stel voorkeuren in,Less intruiging color choice,"No, link",7,Yes,Centre,Less Visible,"Yes, Mediahuis Nederland",Forced Action,No
ND,https://www.nd.nl/,The Netherlands,News outlet,Yes,Cookie instellingen aanpassen,Less intruiging color choice,"No, link",2,Yes,Top,Visible,No,Forced Action,No
Newstral,https://newstral.com/nl,The Netherlands,News outlet,Yes,Meer informatie,"Smaller, no box",Not available,Cannot deny consent,No,Bottom,Visible,No,Obstruction,No
NH,https://www.nhnieuws.nl/,The Netherlands,News outlet,Yes,Instellingen beheren,Less intruiging color choice,"No, link",2,Yes,Top,Visible,No,Forced Action,No
Nieuwsnl,https://nieuws.nl/,The Netherlands,News outlet,Yes,Cookie-instellingen,"Smaller, no box","No, link",2,Yes,Centre,Visible,"Yes, OneTrust",Forced Action,No
Noordhollandsdagblad,https://www.noordhollandsdagblad.nl/,The Netherlands,News outlet,Yes,Stel voorkeuren in,Less intruiging color choice,"No, link",7,Yes,Centre,Less Visible,Yes. Mediahuis Nederland,Forced Action,No
NOS,https://nos.nl/,The Netherlands,News outlet,No,Meer uitleg,Hidden in info and small,Not available,Cannot deny consent,No,Bottom,Visible,No,Obstruction,No
NRZ,https://www.nrz-nl.nl/over-nrz/nieuws/,The Netherlands,News outlet,Yes,Lees hier,Hidden and bold,Not available,Cannot deny consent,No,Bottom,Visible,No,Obstruction,No
NU,https://www.nu.nl/,The Netherlands,News outlet,Yes,Instellen,Smaller,"No, link",2,Yes,Centre,Less Visible,"Yes, DPG Media",Forced Action,No
OF,https://www.omroepflevoland.nl/nieuws#1,The Netherlands,News outlet,Yes,Privacy instellingen,Less intruiging color choice,"No, link",2,Yes,Centre,Less Visible,No,Forced Action,No
Politie,https://www.politie.nl/nieuws,The Netherlands,News outlet,Yes,Weigeren,Less intruiging color choice,Yes,1,Yes,Bottom,Visible,No,Not present,No
Rotterdam,https://www.rotterdam.nl/nieuws/,The Netherlands,News outlet,Yes,Lees meer over deze cookies,Hidden and underlined,"No, link",2,Yes,Bottom,Visible,No,Sneaking,No
RTL,https://www.rtlnieuws.nl/,The Netherlands,News outlet,Yes,Cookie instellingen aanpassen,"Smaller, no box","No, link",2,Yes,Centre,Visible,No,Forced Action,No
SRA,https://www.sra.nl/nieuwsbank,The Netherlands,News outlet,Yes,hier,Hidden in info and small,"No, link",Cannot deny consent,No,Bottom,Visible,No,Obstruction,No
Stedelijk,https://www.stedelijk.nl/nl/nieuws-pers,The Netherlands,News outlet,Yes,Instellingen,Hidden in info and small,"No, link",5,Yes,Bottom,Visible,No,Sneaking,No
Utwente,https://www.utwente.nl/nieuws/,The Netherlands,News outlet,Yes,Cookie-instellingen,Similar,"No, link",2,Yes,Top,Visible,No,Not present,No
Wos,https://wos.nl/nieuws,The Netherlands,News outlet,Yes,Meer informatie over cookies,Hidden in info and small,Not available,Cannot deny consent,No,Bottom,Visible,No,Obstruction,No
,,,,,,,,,,,,,,
